	rule	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10
0	?b 559 ?a => ?a 1189 ?b 	0.780487805	0.8	1.0	96.0	120.0	96.0	?b	0.0	0.0	0.0
188	?e 1141 ?a ?e 1141 ?b => ?a 1141 ?b 	1.0	1.0	1.0	399.0	399.0	399.0	?a	0.0	0.0	0.0
199	?f 1133 ?b ?a 1147 ?f => ?a 1133 ?b 	0.766304348	1.0	1.0	141.0	141.0	141.0	?a	0.0	0.0	0.0
198	?e 1147 ?b ?e 1202 ?a => ?a 1147 ?b 	0.808857809	1.0	1.0	347.0	347.0	347.0	?a	0.0	0.0	0.0
197	?e 1147 ?a ?e 1147 ?b => ?a 1147 ?b 	1.0	1.0	1.0	429.0	429.0	429.0	?a	0.0	0.0	0.0
196	?a 1202 ?f ?b 1202 ?f => ?a 1147 ?b 	0.808857809	0.814553991	1.0	347.0	426.0	347.0	?a	0.0	0.0	0.0
195	?f 1202 ?a ?b 1202 ?f => ?a 1147 ?b 	0.808857809	0.814553991	1.0	347.0	426.0	347.0	?a	0.0	0.0	0.0
194	?b 1147 ?f ?a 1202 ?f => ?a 1147 ?b 	0.808857809	1.0	1.0	347.0	347.0	347.0	?a	0.0	0.0	0.0
193	?a 1147 ?f ?b 1202 ?f => ?a 1147 ?b 	0.808857809	1.0	1.0	347.0	347.0	347.0	?a	0.0	0.0	0.0
192	?b 1147 ?f ?f 1202 ?a => ?a 1147 ?b 	0.808857809	1.0	1.0	347.0	347.0	347.0	?a	0.0	0.0	0.0
191	?a 1147 ?f ?f 1202 ?b => ?a 1147 ?b 	0.808857809	1.0	1.0	347.0	347.0	347.0	?a	0.0	0.0	0.0
190	?a 1147 ?f ?b 1147 ?f => ?a 1147 ?b 	1.0	1.0	1.0	429.0	429.0	429.0	?a	0.0	0.0	0.0
189	?f 1147 ?a ?b 1147 ?f => ?a 1147 ?b 	1.0	1.0	1.0	429.0	429.0	429.0	?a	0.0	0.0	0.0
187	?f 1141 ?b ?a 1141 ?f => ?a 1141 ?b 	1.0	1.0	1.0	399.0	399.0	399.0	?a	0.0	0.0	0.0
201	?e 1133 ?b ?e 1147 ?a => ?a 1133 ?b 	0.766304348	1.0	1.0	141.0	141.0	141.0	?a	0.0	0.0	0.0
186	?a 1141 ?f ?b 1141 ?f => ?a 1141 ?b 	1.0	1.0	1.0	399.0	399.0	399.0	?a	0.0	0.0	0.0
185	?f 1141 ?a ?b 1141 ?f => ?a 1141 ?b 	1.0	1.0	1.0	399.0	399.0	399.0	?a	0.0	0.0	0.0
182	?a 1147 ?b => ?a 1202 ?b 	0.814553991	0.808857809	1.0	347.0	429.0	347.0	?a	0.0	0.0	0.0
181	?b 1147 ?a => ?a 1202 ?b 	0.814553991	0.808857809	1.0	347.0	429.0	347.0	?a	0.0	0.0	0.0
180	?b 1202 ?a => ?a 1202 ?b 	1.0	1.0	1.0	426.0	426.0	426.0	?a	0.0	0.0	0.0
173	?b 446 ?a => ?a 981 ?b 	0.878378378	0.849673203	1.0	130.0	153.0	130.0	?a	0.0	0.0	0.0
165	?b 981 ?a => ?a 446 ?b 	0.849673203	0.878378378	1.0	130.0	148.0	130.0	?b	0.0	0.0	0.0
160	?b 1077 ?a => ?a 1242 ?b 	0.853448276	0.868421053	1.0	99.0	114.0	99.0	?a	0.0	0.0	0.0
154	?b 1084 ?a => ?a 478 ?b 	0.830845771	0.766055046	1.0	167.0	218.0	167.0	?a	0.0	0.0	0.0
