Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 99783 facts in 0.24 s using -99 MB
Using HeadCoverage as pruning metric with minimum threshold 0.75
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
Filtering on standard confidence with minimum threshold 0.75
Filtering on PCA confidence with minimum threshold 0.75
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  559  ?a   => ?a  1189  ?b	0.780487805	0.8	1	96	120	96	?b	0.0	0.0	0.0
?b  1257  ?a   => ?a  1179  ?b	0.768518519	0.81372549	0.902173913	83	102	92	?b	0.0	0.0	0.0
?b  1001  ?a   => ?a  1177  ?b	0.775362319	0.816793893	0.930434783	107	131	115	?a	0.0	0.0	0.0
?b  1243  ?a   => ?a  1198  ?b	0.830388693	0.807560137	0.951417004	235	291	247	?a	0.0	0.0	0.0
?b  1283  ?a   => ?a  1185  ?b	0.846153846	0.8	0.8	132	165	165	?a	0.0	0.0	0.0
?b  522  ?a   => ?a  1171  ?b	0.824561404	0.862385321	0.886792453	94	109	106	?b	0.0	0.0	0.0
?b  21  ?a   => ?a  1195  ?b	0.801571709	0.846473029	0.951048951	408	482	429	?a	0.0	0.0	0.0
?b  474  ?a   => ?a  1194  ?b	0.826027397	0.830578512	0.920610687	603	726	655	?a	0.0	0.0	0.0
?b  1267  ?a   => ?a  1187  ?b	0.82902829	0.845671267	0.87874837	674	797	767	?b	0.0	0.0	0.0
?b  1167  ?a   => ?a  1199  ?b	0.829714286	0.840277778	0.881067961	726	864	824	?b	0.0	0.0	0.0
?b  1284  ?a   => ?a  1193  ?b	0.801075269	0.82320442	0.93125	149	181	160	?a	0.0	0.0	0.0
?b  1163  ?a   => ?a  1163  ?b	0.854700855	0.854700855	0.854700855	100	117	117	?a	0.0	0.0	0.0
?b  1239  ?a   => ?a  1160  ?b	0.769911504	0.836538462	0.87	87	104	100	?a	0.0	0.0	0.0
?b  538  ?a   => ?a  1159  ?b	0.816037736	0.843902439	0.915343915	173	205	189	?b	0.0	0.0	0.0
?b  1110  ?a   => ?a  1168  ?b	0.818007663	0.816443595	0.945736434	854	1046	903	?b	0.0	0.0	0.0
?b  1153  ?a   => ?a  1153  ?b	0.790697674	0.790697674	0.790697674	102	129	129	?b	0.0	0.0	0.0
?b  29  ?a   => ?a  1169  ?b	0.812668464	0.838082001	0.85471297	1206	1439	1411	?b	0.0	0.0	0.0
?b  1199  ?a   => ?a  1167  ?b	0.840277778	0.829714286	0.885365854	726	875	820	?a	0.0	0.0	0.0
?b  1304  ?a   => ?a  1152  ?b	0.871657754	0.840206186	1	163	194	163	?a	0.0	0.0	0.0
?b  1141  ?a   => ?a  1141  ?b	1	1	1	399	399	399	?a	0.0	0.0	0.0
?b  1147  ?a   => ?a  1147  ?b	1	1	1	429	429	429	?a	0.0	0.0	0.0
?b  1202  ?a   => ?a  1147  ?b	0.808857809	0.814553991	1	347	426	347	?a	0.0	0.0	0.0
?a  1202  ?b   => ?a  1147  ?b	0.808857809	0.814553991	1	347	426	347	?a	0.0	0.0	0.0
?b  1113  ?a   => ?a  1165  ?b	0.813074566	0.824016563	1	796	966	796	?a	0.0	0.0	0.0
?b  19  ?a   => ?a  1174  ?b	0.814629259	0.808151093	0.898342541	813	1006	905	?b	0.0	0.0	0.0
?b  1205  ?a   => ?a  368  ?b	0.834710744	0.765151515	0.770992366	101	132	131	?a	0.0	0.0	0.0
?b  502  ?a   => ?a  1140  ?b	0.813793103	0.797297297	0.847396768	472	592	557	?a	0.0	0.0	0.0
?b  1268  ?a   => ?a  1138  ?b	0.846645367	0.841269841	0.910652921	265	315	291	?b	0.0	0.0	0.0
?b  1293  ?a   => ?a  1135  ?b	0.801762115	0.767932489	1	182	237	182	?a	0.0	0.0	0.0
?b  1114  ?a   => ?a  1127  ?b	0.809045226	0.793103448	0.92	161	203	175	?a	0.0	0.0	0.0
?b  1128  ?a   => ?a  1128  ?b	0.838709677	0.838709677	0.95412844	104	124	109	?a	0.0	0.0	0.0
?b  1123  ?a   => ?a  1123  ?b	0.849056604	0.849056604	0.9	90	106	100	?a	0.0	0.0	0.0
?b  1299  ?a   => ?a  1121  ?b	0.851851852	0.836363636	0.989247312	92	110	93	?a	0.0	0.0	0.0
?b  578  ?a   => ?a  1119  ?b	0.802083333	0.832432432	0.900584795	154	185	171	?a	0.0	0.0	0.0
?b  1306  ?a   => ?a  1137  ?b	0.8307393	0.8307393	0.893305439	854	1028	956	?b	0.0	0.0	0.0
