Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 170672 facts in 0.62 s using -75 MB
Using HeadCoverage as pruning metric with minimum threshold 0.5
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
Filtering on standard confidence with minimum threshold 0.5
Filtering on PCA confidence with minimum threshold 0.7
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?a  1145  ?b   => ?a  1187  ?b	0.823529412	0.8	0.84	84	105	100	?b	0.0	0.0	0.0
?b  537  ?a   => ?a  1187  ?b	0.764705882	0.804123711	0.829787234	78	97	94	?b	0.0	0.0	0.0
?a  921  ?b   => ?a  1187  ?b	0.764705882	0.804123711	0.838709677	78	97	93	?b	0.0	0.0	0.0
?b  1134  ?a   => ?a  1198  ?b	0.837438424	0.841584158	0.87628866	340	404	388	?a	0.0	0.0	0.0
?b  544  ?a   => ?a  1194  ?b	0.852941176	0.805555556	0.994285714	174	216	175	?a	0.0	0.0	0.0
?b  1144  ?a   => ?a  1186  ?b	0.81147541	0.7734375	1	198	256	198	?a	0.0	0.0	0.0
?b  1282  ?a   => ?a  1181  ?b	0.816546763	0.816546763	0.879844961	227	278	258	?a	0.0	0.0	0.0
?b  1230  ?a   => ?a  1184  ?b	0.812334802	0.786018755	0.806649169	922	1173	1143	?a	0.0	0.0	0.0
?b  1120  ?a   => ?a  1189  ?b	0.826131687	0.824435318	0.868108108	1606	1948	1850	?b	0.0	0.0	0.0
?b  1182  ?a   => ?a  1182  ?b	0.8	0.8	0.839263804	684	855	815	?a	0.0	0.0	0.0
?b  1202  ?a   => ?a  1178  ?b	0.87654321	0.840236686	0.904458599	142	169	157	?a	0.0	0.0	0.0
?b  1268  ?a   => ?a  1177  ?b	0.812720848	0.867924528	0.950413223	230	265	242	?a	0.0	0.0	0.0
?b  456  ?a   => ?a  1195  ?b	0.785310734	0.842424242	0.932885906	139	165	149	?a	0.0	0.0	0.0
?b  1242  ?a   => ?a  1185  ?b	0.825206302	0.825825826	1	1100	1332	1100	?b	0.0	0.0	0.0
?b  1298  ?a   => ?a  1172  ?b	0.809338521	0.825396825	0.854209446	416	504	487	?a	0.0	0.0	0.0
?b  1081  ?a   => ?a  1188  ?b	0.823182711	0.802681992	0.963218391	419	522	435	?a	0.0	0.0	0.0
?b  591  ?a   => ?a  391  ?b	0.769736842	0.8125	1	117	144	117	?b	0.0	0.0	0.0
?b  577  ?a   => ?a  1196  ?b	0.779591837	0.819742489	1	191	233	191	?b	0.0	0.0	0.0
?b  1170  ?a   => ?a  1170  ?b	0.852713178	0.852713178	0.909090909	110	129	121	?b	0.0	0.0	0.0
?b  510  ?a   => ?a  1168  ?b	0.807843137	0.771535581	0.872881356	412	534	472	?a	0.0	0.0	0.0
?b  1223  ?a   => ?a  1160  ?b	0.849557522	0.849557522	1	96	113	96	?b	0.0	0.0	0.0
?b  1213  ?a   => ?a  1174  ?b	0.784518828	0.778008299	0.949367089	375	482	395	?b	0.0	0.0	0.0
?b  581  ?a   => ?a  1164  ?b	0.815533981	0.7875	0.967370441	504	640	521	?b	0.0	0.0	0.0
?b  1292  ?a   => ?a  1166  ?b	0.817174515	0.828651685	0.945512821	295	356	312	?a	0.0	0.0	0.0
?b  13  ?a   => ?a  1162  ?b	0.826190476	0.815511163	0.90482399	694	851	767	?b	0.0	0.0	0.0
?b  1152  ?a   => ?a  1156  ?b	0.796437659	0.810880829	0.871866295	313	386	359	?a	0.0	0.0	0.0
?b  1156  ?a   => ?a  1152  ?b	0.810880829	0.796437659	0.867036011	313	393	361	?b	0.0	0.0	0.0
?b  1209  ?a   => ?a  1179  ?b	0.687635575	0.861413043	0.900568182	317	368	352	?a	0.0	0.0	0.0
?b  1214  ?a   => ?a  1179  ?b	0.68329718	0.849056604	0.894886364	315	371	352	?a	0.0	0.0	0.0
?b  598  ?a   => ?a  1179  ?b	0.67462039	0.849726776	0.896253602	311	366	347	?a	0.0	0.0	0.0
?a  1200  ?b   => ?a  1179  ?b	0.685466377	0.861035422	0.9002849	316	367	351	?a	0.0	0.0	0.0
?a  512  ?b   => ?a  1179  ?b	0.678958785	0.848238482	0.891737892	313	369	351	?a	0.0	0.0	0.0
?b  1326  ?a   => ?a  1153  ?b	0.840148699	0.8057041	0.957627119	452	561	472	?a	0.0	0.0	0.0
?b  441  ?a   => ?a  1179  ?b	0.828633406	0.862302483	0.90736342	382	443	421	?a	0.0	0.0	0.0
?b  1128  ?a   => ?a  1158  ?b	0.805219012	0.826794258	0.866599799	864	1045	997	?a	0.0	0.0	0.0
?a  1323  ?b   => ?a  1179  ?b	0.69197397	0.864498645	0.901129944	319	369	354	?a	0.0	0.0	0.0
?a  1187  ?b   => ?a  1145  ?b	0.8	0.823529412	0.823529412	84	102	102	?b	0.0	0.0	0.0
?a  921  ?b   => ?a  1145  ?b	0.752380952	0.81443299	0.81443299	79	97	97	?b	0.0	0.0	0.0
?b  1313  ?a   => ?a  1149  ?b	0.809210526	0.848275862	0.953488372	246	290	258	?a	0.0	0.0	0.0
?b  1111  ?a   => ?a  1148  ?b	0.816326531	0.805369128	0.848056537	480	596	566	?b	0.0	0.0	0.0
?b  537  ?a   => ?a  1145  ?b	0.761904762	0.824742268	0.824742268	80	97	97	?b	0.0	0.0	0.0
?b  1247  ?a   => ?a  1142  ?b	0.789915966	0.789915966	0.793248945	188	238	237	?b	0.0	0.0	0.0
?b  526  ?a   => ?a  1142  ?b	0.773109244	0.832579186	0.832579186	184	221	221	?b	0.0	0.0	0.0
