	rule	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10
391	?f 1283 ?b ?a 1285 ?f => ?a 1283 ?b 	0.672316384	1.0	1.0	119.0	119.0	119.0	?a	0.0	0.0	0.0
417	?e 1271 ?b ?e 1285 ?a => ?a 1271 ?b 	0.690366972	1.0	1.0	301.0	301.0	301.0	?a	0.0	0.0	0.0
413	?f 1271 ?b ?a 1285 ?f => ?a 1271 ?b 	0.690366972	1.0	1.0	301.0	301.0	301.0	?a	0.0	0.0	0.0
474	?f 1216 ?b ?a 1216 ?f => ?a 1216 ?b 	1.0	1.0	1.0	414.0	414.0	414.0	?a	0.0	0.0	0.0
412	?a 1273 ?f ?f 1285 ?b => ?a 1273 ?b 	0.605734767	1.0	1.0	169.0	169.0	169.0	?b	0.0	0.0	0.0
411	?a 1273 ?f ?b 1285 ?f => ?a 1273 ?b 	0.605734767	1.0	1.0	169.0	169.0	169.0	?b	0.0	0.0	0.0
410	?a 1273 ?f ?f 1290 ?b => ?a 1273 ?b 	0.630824373	1.0	1.0	176.0	176.0	176.0	?b	0.0	0.0	0.0
475	?e 1216 ?a ?e 1216 ?b => ?a 1216 ?b 	1.0	1.0	1.0	414.0	414.0	414.0	?a	0.0	0.0	0.0
409	?a 1273 ?f ?b 1290 ?f => ?a 1273 ?b 	0.630824373	1.0	1.0	176.0	176.0	176.0	?b	0.0	0.0	0.0
407	?e 1285 ?a ?e 1290 ?b => ?a 1285 ?b 	0.817987152	1.0	1.0	382.0	382.0	382.0	?a	0.0	0.0	0.0
406	?e 1285 ?b ?e 1290 ?a => ?a 1285 ?b 	0.817987152	1.0	1.0	382.0	382.0	382.0	?a	0.0	0.0	0.0
405	?e 1285 ?a ?e 1285 ?b => ?a 1285 ?b 	1.0	1.0	1.0	467.0	467.0	467.0	?a	0.0	0.0	0.0
403	?f 1285 ?b ?a 1290 ?f => ?a 1285 ?b 	0.817987152	1.0	1.0	382.0	382.0	382.0	?a	0.0	0.0	0.0
402	?f 1285 ?b ?a 1285 ?f => ?a 1285 ?b 	1.0	1.0	1.0	467.0	467.0	467.0	?a	0.0	0.0	0.0
401	?a 1285 ?f ?f 1290 ?b => ?a 1285 ?b 	0.817987152	1.0	1.0	382.0	382.0	382.0	?a	0.0	0.0	0.0
400	?b 1285 ?f ?a 1290 ?f => ?a 1285 ?b 	0.817987152	1.0	1.0	382.0	382.0	382.0	?a	0.0	0.0	0.0
239	?b 1216 ?a => ?a 1216 ?b 	1.0	1.0	1.0	414.0	414.0	414.0	?a	0.0	0.0	0.0
399	?a 1285 ?f ?b 1285 ?f => ?a 1285 ?b 	1.0	1.0	1.0	467.0	467.0	467.0	?a	0.0	0.0	0.0
398	?f 1285 ?a ?b 1285 ?f => ?a 1285 ?b 	1.0	1.0	1.0	467.0	467.0	467.0	?a	0.0	0.0	0.0
397	?a 1285 ?f ?b 1290 ?f => ?a 1285 ?b 	0.817987152	1.0	1.0	382.0	382.0	382.0	?a	0.0	0.0	0.0
394	?f 1285 ?a ?b 1290 ?f => ?a 1285 ?b 	0.817987152	1.0	1.0	382.0	382.0	382.0	?a	0.0	0.0	0.0
393	?e 1283 ?b ?e 1285 ?a => ?a 1283 ?b 	0.672316384	1.0	1.0	119.0	119.0	119.0	?a	0.0	0.0	0.0
392	?e 1283 ?b ?e 1290 ?a => ?a 1283 ?b 	0.779661017	1.0	1.0	138.0	138.0	138.0	?a	0.0	0.0	0.0
416	?e 1271 ?b ?e 1290 ?a => ?a 1271 ?b 	0.690366972	1.0	1.0	301.0	301.0	301.0	?a	0.0	0.0	0.0
421	?f 1260 ?b ?a 1290 ?f => ?a 1260 ?b 	0.776081425	1.0	1.0	305.0	305.0	305.0	?a	0.0	0.0	0.0
