Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 108854 facts in 0.29 s using -9 MB
Using HeadCoverage as pruning metric with minimum threshold 0.75
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
Filtering on standard confidence with minimum threshold 0.75
Filtering on PCA confidence with minimum threshold 0.75
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  574  ?a   => ?a  1183  ?b	0.849206349	0.775362319	0.906779661	107	138	118	?a	0.0	0.0	0.0
?b  1263  ?a   => ?a  1192  ?b	0.872246696	0.831932773	0.864628821	198	238	229	?a	0.0	0.0	0.0
?b  474  ?a   => ?a  1180  ?b	0.818791946	0.865248227	0.917293233	122	141	133	?b	0.0	0.0	0.0
?b  1276  ?a   => ?a  1173  ?b	0.814285714	0.76	0.77027027	114	150	148	?b	0.0	0.0	0.0
?b  21  ?a   => ?a  1197  ?b	0.845177665	0.82630273	0.926286509	666	806	719	?b	0.0	0.0	0.0
?b  576  ?a   => ?a  1172  ?b	0.796791444	0.776041667	1	149	192	149	?b	0.0	0.0	0.0
?b  1059  ?a   => ?a  1179  ?b	0.834558824	0.840740741	0.991266376	227	270	229	?a	0.0	0.0	0.0
?b  1136  ?a   => ?a  1177  ?b	0.823275862	0.817112299	0.885283893	764	935	863	?b	0.0	0.0	0.0
?b  1205  ?a   => ?a  1181  ?b	0.814569536	0.811881188	0.901098901	246	303	273	?a	0.0	0.0	0.0
?b  301  ?a   => ?a  1168  ?b	0.818181818	0.849056604	0.9	90	106	100	?b	0.0	0.0	0.0
?b  1195  ?a   => ?a  1199  ?b	0.830890643	0.821627648	0.900977995	737	897	818	?a	0.0	0.0	0.0
?b  494  ?a   => ?a  1162  ?b	0.848249027	0.838461538	0.893442623	218	260	244	?b	0.0	0.0	0.0
?b  1258  ?a   => ?a  1162  ?b	0.821011673	0.830708661	0.875518672	211	254	241	?b	0.0	0.0	0.0
?b  1119  ?a   => ?a  1162  ?b	0.817120623	0.830039526	0.886075949	210	253	237	?b	0.0	0.0	0.0
?b  1171  ?a   => ?a  1193  ?b	0.830405815	0.832928311	0.848916409	1371	1646	1615	?b	0.0	0.0	0.0
?b  1281  ?a   => ?a  1162  ?b	0.80155642	0.751824818	0.891774892	206	274	231	?b	0.0	0.0	0.0
?a  488  ?b   => ?a  1162  ?b	0.840466926	0.840466926	0.89626556	216	257	241	?b	0.0	0.0	0.0
?a  456  ?b   => ?a  1162  ?b	0.821011673	0.811538462	0.875518672	211	260	241	?b	0.0	0.0	0.0
?a  1105  ?b   => ?a  1162  ?b	0.859922179	0.756849315	0.887550201	221	292	249	?b	0.0	0.0	0.0
?b  1193  ?a   => ?a  1171  ?b	0.832928311	0.830405815	0.843692308	1371	1651	1625	?a	0.0	0.0	0.0
?b  1199  ?a   => ?a  1195  ?b	0.821627648	0.830890643	0.908754624	737	887	811	?b	0.0	0.0	0.0
?b  1159  ?a   => ?a  1159  ?b	0.791139241	0.791139241	0.791139241	250	316	316	?a	0.0	0.0	0.0
?b  1166  ?a   => ?a  1170  ?b	0.8283864	0.815621679	0.867231638	1535	1882	1770	?b	0.0	0.0	0.0
?b  1231  ?a   => ?a  1158  ?b	0.821428571	0.884615385	0.93877551	138	156	147	?b	0.0	0.0	0.0
?a  1267  ?b   => ?a  1155  ?b	0.858064516	0.836477987	1	266	318	266	?a	0.0	0.0	0.0
?a  31  ?b   => ?a  1155  ?b	0.832258065	0.832258065	1	258	310	258	?a	0.0	0.0	0.0
?a  1225  ?b   => ?a  1155  ?b	0.819354839	0.827361564	1	254	307	254	?a	0.0	0.0	0.0
?a  1221  ?b   => ?a  1155  ?b	0.825806452	0.828478964	1	256	309	256	?a	0.0	0.0	0.0
?b  1308  ?a   => ?a  1167  ?b	0.8125	0.828879512	0.871794872	1768	2133	2028	?b	0.0	0.0	0.0
?b  492  ?a   => ?a  383  ?b	0.829545455	0.815642458	0.858823529	146	179	170	?b	0.0	0.0	0.0
?b  444  ?a   => ?a  1145  ?b	0.793103448	0.824701195	0.844897959	207	251	245	?a	0.0	0.0	0.0
?b  572  ?a   => ?a  1149  ?b	0.83255814	0.813636364	0.895	179	220	200	?b	0.0	0.0	0.0
?b  1228  ?a   => ?a  1138  ?b	0.830653805	0.83512931	0.850713502	775	928	911	?b	0.0	0.0	0.0
?b  1252  ?a   => ?a  1147  ?b	0.821374046	0.825153374	0.944688323	1076	1304	1139	?a	0.0	0.0	0.0
?b  1194  ?a   => ?a  1194  ?b	0.811997648	0.811997648	0.821336506	4142	5101	5043	?b	0.0	0.0	0.0
?b  490  ?a   => ?a  1127  ?b	0.834733894	0.846590909	0.856321839	298	352	348	?a	0.0	0.0	0.0
?b  1170  ?a   => ?a  1166  ?b	0.815621679	0.8283864	0.878649113	1535	1853	1747	?a	0.0	0.0	0.0
?a  964  ?b   => ?a  1125  ?b	0.763513514	0.81884058	1	113	138	113	?a	0.0	0.0	0.0
?b  486  ?a   => ?a  1131  ?b	0.808864266	0.841498559	0.970099668	292	347	301	?b	0.0	0.0	0.0
?b  1109  ?a   => ?a  1135  ?b	0.818669528	0.835706462	0.95494368	763	913	799	?b	0.0	0.0	0.0
?b  1288  ?a   => ?a  1133  ?b	0.832904884	0.819561551	0.900834106	972	1186	1079	?b	0.0	0.0	0.0
?b  1105  ?a   => ?a  1119  ?b	0.873517787	0.756849315	0.891129032	221	292	248	?a	0.0	0.0	0.0
?b  488  ?a   => ?a  1119  ?b	0.830039526	0.817120623	0.878661088	210	257	239	?a	0.0	0.0	0.0
?b  1162  ?a   => ?a  1119  ?b	0.830039526	0.817120623	0.882352941	210	257	238	?a	0.0	0.0	0.0
?a  494  ?b   => ?a  1119  ?b	0.845849802	0.823076923	0.880658436	214	260	243	?a	0.0	0.0	0.0
?b  456  ?a   => ?a  1119  ?b	0.826086957	0.803846154	0.870833333	209	260	240	?a	0.0	0.0	0.0
?a  1258  ?b   => ?a  1119  ?b	0.818181818	0.81496063	0.869747899	207	254	238	?a	0.0	0.0	0.0
?b  17  ?a   => ?a  1157  ?b	0.821251241	0.807617188	0.857883817	827	1024	964	?a	0.0	0.0	0.0
?b  13  ?a   => ?a  1115  ?b	0.846715328	0.833034111	0.931726908	464	557	498	?a	0.0	0.0	0.0
?b  1278  ?a   => ?a  1108  ?b	0.836065574	0.80104712	0.822580645	153	191	186	?a	0.0	0.0	0.0
?b  1307  ?a   => ?a  1104  ?b	0.838709677	0.81533101	0.970954357	234	287	241	?b	0.0	0.0	0.0
?b  1135  ?a   => ?a  1109  ?b	0.835706462	0.818669528	0.95375	763	932	800	?a	0.0	0.0	0.0
?b  1281  ?a   => ?a  1105  ?b	0.801369863	0.854014599	0.936	234	274	250	?b	0.0	0.0	0.0
?a  1162  ?b   => ?a  1105  ?b	0.756849315	0.859922179	0.920833333	221	257	240	?b	0.0	0.0	0.0
