Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 108854 facts in 0.32 s using -9 MB
Using HeadCoverage as pruning metric with minimum threshold 0.5
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
Filtering on standard confidence with minimum threshold 0.5
Filtering on PCA confidence with minimum threshold 0.7
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  1263  ?a   => ?a  1192  ?b	0.872246696	0.831932773	0.864628821	198	238	229	?a	0.0	0.0	0.0
?b  1205  ?a   => ?a  1181  ?b	0.814569536	0.811881188	0.901098901	246	303	273	?a	0.0	0.0	0.0
?b  574  ?a   => ?a  1183  ?b	0.849206349	0.775362319	0.906779661	107	138	118	?a	0.0	0.0	0.0
?b  474  ?a   => ?a  1180  ?b	0.818791946	0.865248227	0.917293233	122	141	133	?b	0.0	0.0	0.0
?b  1199  ?a   => ?a  1195  ?b	0.821627648	0.830890643	0.908754624	737	887	811	?b	0.0	0.0	0.0
?b  1195  ?a   => ?a  1199  ?b	0.830890643	0.821627648	0.900977995	737	897	818	?a	0.0	0.0	0.0
?b  1059  ?a   => ?a  1179  ?b	0.834558824	0.840740741	0.991266376	227	270	229	?a	0.0	0.0	0.0
?b  21  ?a   => ?a  1197  ?b	0.845177665	0.82630273	0.926286509	666	806	719	?b	0.0	0.0	0.0
?b  1171  ?a   => ?a  1193  ?b	0.830405815	0.832928311	0.848916409	1371	1646	1615	?b	0.0	0.0	0.0
?b  301  ?a   => ?a  1168  ?b	0.818181818	0.849056604	0.9	90	106	100	?b	0.0	0.0	0.0
?b  1276  ?a   => ?a  1173  ?b	0.814285714	0.76	0.77027027	114	150	148	?b	0.0	0.0	0.0
?a  1226  ?b   => ?a  1173  ?b	0.807142857	0.738562092	0.748344371	113	153	151	?b	0.0	0.0	0.0
?b  576  ?a   => ?a  1172  ?b	0.796791444	0.776041667	1	149	192	149	?b	0.0	0.0	0.0
?b  1136  ?a   => ?a  1177  ?b	0.823275862	0.817112299	0.885283893	764	935	863	?b	0.0	0.0	0.0
?a  1089  ?b   => ?a  1161  ?b	0.77	0.652542373	1	77	118	77	?a	0.0	0.0	0.0
?a  588  ?b   => ?a  1161  ?b	0.7	0.795454545	1	70	88	70	?a	0.0	0.0	0.0
?a  875  ?b   => ?a  1161  ?b	0.63	0.797468354	1	63	79	63	?a	0.0	0.0	0.0
?a  841  ?b   => ?a  1161  ?b	0.6	0.779220779	1	60	77	60	?a	0.0	0.0	0.0
?b  492  ?a   => ?a  383  ?b	0.829545455	0.815642458	0.858823529	146	179	170	?b	0.0	0.0	0.0
?b  1166  ?a   => ?a  1170  ?b	0.8283864	0.815621679	0.867231638	1535	1882	1770	?b	0.0	0.0	0.0
?b  1231  ?a   => ?a  1158  ?b	0.821428571	0.884615385	0.93877551	138	156	147	?b	0.0	0.0	0.0
?b  1170  ?a   => ?a  1166  ?b	0.815621679	0.8283864	0.878649113	1535	1853	1747	?a	0.0	0.0	0.0
?b  1193  ?a   => ?a  1171  ?b	0.832928311	0.830405815	0.843692308	1371	1651	1625	?a	0.0	0.0	0.0
?b  1308  ?a   => ?a  1167  ?b	0.8125	0.828879512	0.871794872	1768	2133	2028	?b	0.0	0.0	0.0
?a  31  ?b   => ?a  1155  ?b	0.832258065	0.832258065	1	258	310	258	?a	0.0	0.0	0.0
?a  1267  ?b   => ?a  1155  ?b	0.858064516	0.836477987	1	266	318	266	?a	0.0	0.0	0.0
?a  1225  ?b   => ?a  1155  ?b	0.819354839	0.827361564	1	254	307	254	?a	0.0	0.0	0.0
?a  1221  ?b   => ?a  1155  ?b	0.825806452	0.828478964	1	256	309	256	?a	0.0	0.0	0.0
?b  572  ?a   => ?a  1149  ?b	0.83255814	0.813636364	0.895	179	220	200	?b	0.0	0.0	0.0
?b  494  ?a   => ?a  1162  ?b	0.848249027	0.838461538	0.893442623	218	260	244	?b	0.0	0.0	0.0
?b  1281  ?a   => ?a  1162  ?b	0.80155642	0.751824818	0.891774892	206	274	231	?b	0.0	0.0	0.0
