	rule	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10
266	?f 1215 ?b ?a 1215 ?f => ?a 1215 ?b 	1.0	1.0	1.0	405.0	405.0	405.0	?a	0.0	0.0	0.0
232	?a 1140 ?f ?f 576 ?b => ?a 576 ?b 	0.817708333	1.0	1.0	157.0	157.0	157.0	?a	0.0	0.0	0.0
244	?e 1215 ?a ?e 1266 ?b => ?a 1266 ?b 	0.80952381	1.0	1.0	323.0	323.0	323.0	?a	0.0	0.0	0.0
243	?e 1266 ?a ?e 1266 ?b => ?a 1266 ?b 	1.0	1.0	1.0	399.0	399.0	399.0	?a	0.0	0.0	0.0
242	?b 1215 ?f ?a 1266 ?f => ?a 1266 ?b 	0.80952381	1.0	1.0	323.0	323.0	323.0	?a	0.0	0.0	0.0
241	?f 1215 ?b ?a 1266 ?f => ?a 1266 ?b 	0.80952381	1.0	1.0	323.0	323.0	323.0	?a	0.0	0.0	0.0
240	?f 1266 ?b ?a 1266 ?f => ?a 1266 ?b 	1.0	1.0	1.0	399.0	399.0	399.0	?a	0.0	0.0	0.0
239	?a 1215 ?f ?b 1266 ?f => ?a 1266 ?b 	0.80952381	1.0	1.0	323.0	323.0	323.0	?a	0.0	0.0	0.0
233	?e 1140 ?a ?e 576 ?b => ?a 576 ?b 	0.817708333	1.0	1.0	157.0	157.0	157.0	?a	0.0	0.0	0.0
231	?f 1140 ?a ?b 1140 ?f => ?a 1140 ?b 	1.0	1.0	1.0	367.0	367.0	367.0	?a	0.0	0.0	0.0
246	?f 1266 ?a ?b 1266 ?f => ?a 1266 ?b 	1.0	1.0	1.0	399.0	399.0	399.0	?a	0.0	0.0	0.0
230	?e 1140 ?a ?e 1140 ?b => ?a 1140 ?b 	1.0	1.0	1.0	367.0	367.0	367.0	?a	0.0	0.0	0.0
229	?a 1140 ?f ?b 1140 ?f => ?a 1140 ?b 	1.0	1.0	1.0	367.0	367.0	367.0	?a	0.0	0.0	0.0
227	?b 1140 ?f ?a 1172 ?f => ?a 1172 ?b 	0.818181818	1.0	1.0	153.0	153.0	153.0	?b	0.0	0.0	0.0
226	?f 1140 ?b ?a 1172 ?f => ?a 1172 ?b 	0.818181818	1.0	1.0	153.0	153.0	153.0	?b	0.0	0.0	0.0
215	?b 1215 ?a => ?a 1215 ?b 	1.0	1.0	1.0	405.0	405.0	405.0	?a	0.0	0.0	0.0
58	?b 1140 ?a => ?a 1140 ?b 	1.0	1.0	1.0	367.0	367.0	367.0	?a	0.0	0.0	0.0
163	?b 1266 ?a => ?a 1266 ?b 	1.0	1.0	1.0	399.0	399.0	399.0	?a	0.0	0.0	0.0
245	?a 1266 ?f ?b 1266 ?f => ?a 1266 ?b 	1.0	1.0	1.0	399.0	399.0	399.0	?a	0.0	0.0	0.0
