	rule	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10
440	?e 1266 ?a ?e 459 ?b => ?a 459 ?b 	0.581632653	1.0	1.0	114.0	114.0	114.0	?a	0.0	0.0	0.0
432	?e 1215 ?a ?e 1235 ?b => ?a 1235 ?b 	0.611510791	1.0	1.0	85.0	85.0	85.0	?a	0.0	0.0	0.0
323	?a 1109 ?f ?f 1215 ?b => ?a 1109 ?b 	0.613362541	1.0	1.0	560.0	560.0	560.0	?a	0.0	0.0	0.0
322	?a 1109 ?f ?b 1266 ?f => ?a 1109 ?b 	0.585980285	1.0	1.0	535.0	535.0	535.0	?a	0.0	0.0	0.0
411	?e 1266 ?a ?e 1266 ?b => ?a 1266 ?b 	1.0	1.0	1.0	399.0	399.0	399.0	?a	0.0	0.0	0.0
321	?a 1109 ?f ?b 1215 ?f => ?a 1109 ?b 	0.613362541	1.0	1.0	560.0	560.0	560.0	?a	0.0	0.0	0.0
319	?e 1135 ?b ?e 1266 ?a => ?a 1135 ?b 	0.571888412	1.0	1.0	533.0	533.0	533.0	?b	0.0	0.0	0.0
424	?b 1215 ?f ?a 1237 ?f => ?a 1237 ?b 	0.733830846	1.0	1.0	295.0	295.0	295.0	?b	0.0	0.0	0.0
427	?e 1215 ?b ?a 1237 ?e => ?a 1237 ?b 	0.733830846	1.0	1.0	295.0	295.0	295.0	?b	0.0	0.0	0.0
428	?a 1237 ?f ?b 1266 ?f => ?a 1237 ?b 	0.65920398	1.0	1.0	265.0	265.0	265.0	?b	0.0	0.0	0.0
430	?a 1215 ?f ?f 1235 ?b => ?a 1235 ?b 	0.611510791	1.0	1.0	85.0	85.0	85.0	?a	0.0	0.0	0.0
431	?f 1235 ?b ?a 1266 ?f => ?a 1235 ?b 	0.575539568	1.0	1.0	80.0	80.0	80.0	?a	0.0	0.0	0.0
318	?e 1135 ?b ?e 1215 ?a => ?a 1135 ?b 	0.60193133	1.0	1.0	561.0	561.0	561.0	?b	0.0	0.0	0.0
458	?e 1266 ?a ?e 448 ?b => ?a 448 ?b 	0.717647059	1.0	1.0	244.0	244.0	244.0	?a	0.0	0.0	0.0
433	?a 1237 ?e ?e 1266 ?b => ?a 1237 ?b 	0.65920398	1.0	1.0	265.0	265.0	265.0	?b	0.0	0.0	0.0
317	?f 1135 ?b ?a 1266 ?f => ?a 1135 ?b 	0.571888412	1.0	1.0	533.0	533.0	533.0	?b	0.0	0.0	0.0
315	?f 1135 ?b ?a 1215 ?f => ?a 1135 ?b 	0.60193133	1.0	1.0	561.0	561.0	561.0	?b	0.0	0.0	0.0
364	?f 1067 ?b ?a 1266 ?f => ?a 1067 ?b 	0.683168317	1.0	1.0	276.0	276.0	276.0	?a	0.0	0.0	0.0
434	?e 1235 ?b ?e 1266 ?a => ?a 1235 ?b 	0.575539568	1.0	1.0	80.0	80.0	80.0	?a	0.0	0.0	0.0
438	?a 1266 ?f ?f 459 ?b => ?a 459 ?b 	0.581632653	1.0	1.0	114.0	114.0	114.0	?a	0.0	0.0	0.0
439	?e 1215 ?a ?e 459 ?b => ?a 459 ?b 	0.602040816	1.0	1.0	118.0	118.0	118.0	?a	0.0	0.0	0.0
363	?e 1067 ?b ?e 1215 ?a => ?a 1067 ?b 	0.742574257	1.0	1.0	300.0	300.0	300.0	?a	0.0	0.0	0.0
441	?a 1215 ?e ?e 459 ?b => ?a 459 ?b 	0.602040816	1.0	1.0	118.0	118.0	118.0	?a	0.0	0.0	0.0
452	?a 1266 ?f ?f 448 ?b => ?a 448 ?b 	0.717647059	1.0	1.0	244.0	244.0	244.0	?a	0.0	0.0	0.0
324	?a 1109 ?f ?f 1266 ?b => ?a 1109 ?b 	0.585980285	1.0	1.0	535.0	535.0	535.0	?a	0.0	0.0	0.0
328	?a 1140 ?f ?f 576 ?b => ?a 576 ?b 	0.817708333	1.0	1.0	157.0	157.0	157.0	?a	0.0	0.0	0.0
410	?e 1215 ?a ?e 1266 ?b => ?a 1266 ?b 	0.80952381	1.0	1.0	323.0	323.0	323.0	?a	0.0	0.0	0.0
332	?e 1140 ?a ?e 576 ?b => ?a 576 ?b 	0.817708333	1.0	1.0	157.0	157.0	157.0	?a	0.0	0.0	0.0
359	?f 1067 ?b ?a 1215 ?f => ?a 1067 ?b 	0.742574257	1.0	1.0	300.0	300.0	300.0	?a	0.0	0.0	0.0
355	?a 1062 ?f ?f 1140 ?b => ?a 1062 ?b 	0.720720721	1.0	1.0	80.0	80.0	80.0	?a	0.0	0.0	0.0
352	?a 1062 ?f ?b 1140 ?f => ?a 1062 ?b 	0.720720721	1.0	1.0	80.0	80.0	80.0	?a	0.0	0.0	0.0
349	?e 1266 ?b ?a 578 ?e => ?a 578 ?b 	0.636363636	1.0	1.0	70.0	70.0	70.0	?b	0.0	0.0	0.0
348	?e 1215 ?b ?a 578 ?e => ?a 578 ?b 	0.718181818	1.0	1.0	79.0	79.0	79.0	?b	0.0	0.0	0.0
393	?f 1215 ?a ?b 1266 ?f => ?a 1266 ?b 	0.80952381	1.0	1.0	323.0	323.0	323.0	?a	0.0	0.0	0.0
394	?f 1266 ?a ?b 1266 ?f => ?a 1266 ?b 	1.0	1.0	1.0	399.0	399.0	399.0	?a	0.0	0.0	0.0
395	?a 1266 ?f ?b 1266 ?f => ?a 1266 ?b 	1.0	1.0	1.0	399.0	399.0	399.0	?a	0.0	0.0	0.0
396	?a 1215 ?f ?b 1266 ?f => ?a 1266 ?b 	0.80952381	1.0	1.0	323.0	323.0	323.0	?a	0.0	0.0	0.0
398	?b 1215 ?f ?a 1266 ?f => ?a 1266 ?b 	0.80952381	1.0	1.0	323.0	323.0	323.0	?a	0.0	0.0	0.0
400	?a 1215 ?f ?f 1266 ?b => ?a 1266 ?b 	0.80952381	1.0	1.0	323.0	323.0	323.0	?a	0.0	0.0	0.0
401	?f 1266 ?b ?a 1266 ?f => ?a 1266 ?b 	1.0	1.0	1.0	399.0	399.0	399.0	?a	0.0	0.0	0.0
347	?b 1215 ?f ?a 578 ?f => ?a 578 ?b 	0.718181818	1.0	1.0	79.0	79.0	79.0	?b	0.0	0.0	0.0
402	?f 1215 ?b ?a 1266 ?f => ?a 1266 ?b 	0.80952381	1.0	1.0	323.0	323.0	323.0	?a	0.0	0.0	0.0
346	?b 1266 ?f ?a 578 ?f => ?a 578 ?b 	0.636363636	1.0	1.0	70.0	70.0	70.0	?b	0.0	0.0	0.0
403	?e 1215 ?b ?e 1266 ?a => ?a 1266 ?b 	0.80952381	1.0	1.0	323.0	323.0	323.0	?a	0.0	0.0	0.0
164	?b 1266 ?a => ?a 1266 ?b 	1.0	1.0	1.0	399.0	399.0	399.0	?a	0.0	0.0	0.0
341	?a 1266 ?e ?e 1309 ?b => ?a 1309 ?b 	0.745398773	1.0	1.0	243.0	243.0	243.0	?a	0.0	0.0	0.0
