	rule	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10
170	?a 1291 ?b => ?a 1294 ?b 	0.814705882	0.812316716	1.0	277.0	341.0	277.0	?a	0.0	0.0	0.0
181	?a 1317 ?b => ?a 1295 ?b 	0.813559322	0.812411848	1.0	576.0	709.0	576.0	?a	0.0	0.0	0.0
193	?b 1028 ?a => ?a 1266 ?b 	0.774891775	0.761702128	1.0	179.0	235.0	179.0	?b	0.0	0.0	0.0
195	?a 1228 ?b => ?a 1268 ?b 	0.823281907	0.822128852	1.0	587.0	714.0	587.0	?a	0.0	0.0	0.0
196	?a 1295 ?b => ?a 1268 ?b 	0.81486676	0.820621469	1.0	581.0	708.0	581.0	?a	0.0	0.0	0.0
197	?a 1317 ?b => ?a 1268 ?b 	0.812061711	0.816643159	1.0	579.0	709.0	579.0	?a	0.0	0.0	0.0
198	?a 1190 ?b => ?a 1268 ?b 	0.813464236	0.815752461	1.0	580.0	711.0	580.0	?a	0.0	0.0	0.0
200	?a 1102 ?b => ?a 1261 ?b 	0.762162162	0.819767442	1.0	141.0	172.0	141.0	?a	0.0	0.0	0.0
223	?b 1165 ?a => ?a 477 ?b 	0.85	0.833333333	1.0	85.0	102.0	85.0	?a	0.0	0.0	0.0
231	?b 599 ?a => ?a 1241 ?b 	0.78	0.8125	1.0	195.0	240.0	195.0	?a	0.0	0.0	0.0
233	?b 1311 ?a => ?a 460 ?b 	0.855932203	0.855932203	1.0	101.0	118.0	101.0	?b	0.0	0.0	0.0
245	?b 1074 ?a => ?a 476 ?b 	0.829508197	0.803174603	1.0	253.0	315.0	253.0	?b	0.0	0.0	0.0
260	?a 1067 ?b => ?a 1212 ?b 	0.811881188	0.828282828	1.0	82.0	99.0	82.0	?a	0.0	0.0	0.0
264	?a 1291 ?b => ?a 435 ?b 	0.831325301	0.809384164	1.0	276.0	341.0	276.0	?a	0.0	0.0	0.0
265	?a 1091 ?b => ?a 435 ?b 	0.837349398	0.796561605	1.0	278.0	349.0	278.0	?a	0.0	0.0	0.0
266	?a 1155 ?b => ?a 435 ?b 	0.81626506	0.799410029	1.0	271.0	339.0	271.0	?a	0.0	0.0	0.0
267	?a 1294 ?b => ?a 435 ?b 	0.819277108	0.8	1.0	272.0	340.0	272.0	?a	0.0	0.0	0.0
269	?a 1268 ?b => ?a 1228 ?b 	0.822128852	0.823281907	1.0	587.0	713.0	587.0	?a	0.0	0.0	0.0
270	?a 1295 ?b => ?a 1228 ?b 	0.820728291	0.827683616	1.0	586.0	708.0	586.0	?a	0.0	0.0	0.0
271	?a 1190 ?b => ?a 1228 ?b 	0.81092437	0.814345992	1.0	579.0	711.0	579.0	?a	0.0	0.0	0.0
272	?a 1317 ?b => ?a 1228 ?b 	0.808123249	0.813822285	1.0	577.0	709.0	577.0	?a	0.0	0.0	0.0
