	rule	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10
366	?a 1159 ?f ?b 1272 ?f => ?a 1159 ?b 	0.56981982	1.0	1.0	253.0	253.0	253.0	?a	0.0	0.0	0.0
454	?f 1310 ?b ?a 1310 ?f => ?a 1310 ?b 	1.0	1.0	1.0	466.0	466.0	466.0	?a	0.0	0.0	0.0
472	?a 1300 ?e ?e 1310 ?b => ?a 1300 ?b 	0.672727273	1.0	1.0	74.0	74.0	74.0	?b	0.0	0.0	0.0
470	?a 1300 ?e ?e 429 ?b => ?a 1300 ?b 	0.690909091	1.0	1.0	76.0	76.0	76.0	?b	0.0	0.0	0.0
468	?a 1300 ?f ?b 1310 ?f => ?a 1300 ?b 	0.672727273	1.0	1.0	74.0	74.0	74.0	?b	0.0	0.0	0.0
466	?a 1300 ?f ?b 429 ?f => ?a 1300 ?b 	0.690909091	1.0	1.0	76.0	76.0	76.0	?b	0.0	0.0	0.0
464	?f 1310 ?a ?b 1310 ?f => ?a 1310 ?b 	1.0	1.0	1.0	466.0	466.0	466.0	?a	0.0	0.0	0.0
463	?e 1310 ?a ?e 429 ?b => ?a 1310 ?b 	0.806866953	1.0	1.0	376.0	376.0	376.0	?a	0.0	0.0	0.0
462	?e 429 ?a ?e 429 ?b => ?a 1310 ?b 	0.806866953	0.813852814	1.0	376.0	462.0	376.0	?a	0.0	0.0	0.0
461	?e 1310 ?b ?e 429 ?a => ?a 1310 ?b 	0.806866953	1.0	1.0	376.0	376.0	376.0	?a	0.0	0.0	0.0
460	?e 1310 ?a ?e 1310 ?b => ?a 1310 ?b 	1.0	1.0	1.0	466.0	466.0	466.0	?a	0.0	0.0	0.0
459	?b 1310 ?f ?a 429 ?f => ?a 1310 ?b 	0.806866953	1.0	1.0	376.0	376.0	376.0	?a	0.0	0.0	0.0
458	?f 1310 ?b ?a 429 ?f => ?a 1310 ?b 	0.806866953	1.0	1.0	376.0	376.0	376.0	?a	0.0	0.0	0.0
457	?f 429 ?b ?a 429 ?f => ?a 1310 ?b 	0.806866953	0.813852814	1.0	376.0	462.0	376.0	?a	0.0	0.0	0.0
456	?a 1310 ?f ?b 1310 ?f => ?a 1310 ?b 	1.0	1.0	1.0	466.0	466.0	466.0	?a	0.0	0.0	0.0
455	?a 1310 ?f ?f 429 ?b => ?a 1310 ?b 	0.806866953	1.0	1.0	376.0	376.0	376.0	?a	0.0	0.0	0.0
453	?a 429 ?f ?b 429 ?f => ?a 1310 ?b 	0.806866953	0.813852814	1.0	376.0	462.0	376.0	?a	0.0	0.0	0.0
417	?b 1310 ?f ?a 573 ?f => ?a 573 ?b 	0.783783784	1.0	1.0	87.0	87.0	87.0	?b	0.0	0.0	0.0
452	?a 1310 ?f ?b 429 ?f => ?a 1310 ?b 	0.806866953	1.0	1.0	376.0	376.0	376.0	?a	0.0	0.0	0.0
451	?f 429 ?a ?b 429 ?f => ?a 1310 ?b 	0.806866953	0.813852814	1.0	376.0	462.0	376.0	?a	0.0	0.0	0.0
450	?f 1310 ?a ?b 429 ?f => ?a 1310 ?b 	0.806866953	1.0	1.0	376.0	376.0	376.0	?a	0.0	0.0	0.0
449	?e 1316 ?b ?e 429 ?a => ?a 1316 ?b 	0.590673575	1.0	1.0	228.0	228.0	228.0	?a	0.0	0.0	0.0
448	?e 429 ?a ?e 532 ?b => ?a 532 ?b 	0.657657658	1.0	1.0	73.0	73.0	73.0	?a	0.0	0.0	0.0
447	?e 1310 ?a ?e 532 ?b => ?a 532 ?b 	0.702702703	1.0	1.0	78.0	78.0	78.0	?a	0.0	0.0	0.0
446	?a 429 ?f ?f 532 ?b => ?a 532 ?b 	0.657657658	1.0	1.0	73.0	73.0	73.0	?a	0.0	0.0	0.0
445	?a 1310 ?f ?f 532 ?b => ?a 532 ?b 	0.702702703	1.0	1.0	78.0	78.0	78.0	?a	0.0	0.0	0.0
444	?e 1310 ?a ?e 1316 ?b => ?a 1316 ?b 	0.60880829	1.0	1.0	235.0	235.0	235.0	?a	0.0	0.0	0.0
443	?f 1316 ?b ?a 429 ?f => ?a 1316 ?b 	0.590673575	1.0	1.0	228.0	228.0	228.0	?a	0.0	0.0	0.0
442	?a 1310 ?f ?f 1316 ?b => ?a 1316 ?b 	0.60880829	1.0	1.0	235.0	235.0	235.0	?a	0.0	0.0	0.0
423	?e 429 ?b ?a 573 ?e => ?a 573 ?b 	0.72972973	1.0	1.0	81.0	81.0	81.0	?b	0.0	0.0	0.0
421	?e 1310 ?b ?a 573 ?e => ?a 573 ?b 	0.783783784	1.0	1.0	87.0	87.0	87.0	?b	0.0	0.0	0.0
420	?e 1310 ?b ?e 408 ?a => ?a 573 ?b 	0.630630631	0.897435897	1.0	70.0	78.0	70.0	?b	0.0	0.0	0.0
474	?a 1301 ?f ?b 1310 ?f => ?a 1301 ?b 	0.715746421	1.0	1.0	350.0	350.0	350.0	?b	0.0	0.0	0.0
475	?a 1301 ?f ?b 429 ?f => ?a 1301 ?b 	0.701431493	1.0	1.0	343.0	343.0	343.0	?b	0.0	0.0	0.0
477	?a 1301 ?e ?e 429 ?b => ?a 1301 ?b 	0.701431493	1.0	1.0	343.0	343.0	343.0	?b	0.0	0.0	0.0
479	?a 1301 ?e ?e 1310 ?b => ?a 1301 ?b 	0.715746421	1.0	1.0	350.0	350.0	350.0	?b	0.0	0.0	0.0
511	?e 1067 ?b ?e 476 ?a => ?a 1054 ?b 	0.761904762	0.540540541	1.0	80.0	148.0	80.0	?a	0.0	0.0	0.0
510	?e 1212 ?b ?e 1244 ?a => ?a 1054 ?b 	0.6	0.715909091	1.0	63.0	88.0	63.0	?a	0.0	0.0	0.0
509	?e 1212 ?b ?e 476 ?a => ?a 1054 ?b 	0.761904762	0.567375887	1.0	80.0	141.0	80.0	?a	0.0	0.0	0.0
508	?e 1054 ?b ?e 1244 ?a => ?a 1054 ?b 	0.59047619	0.720930233	1.0	62.0	86.0	62.0	?a	0.0	0.0	0.0
507	?e 1054 ?b ?e 476 ?a => ?a 1054 ?b 	0.761904762	0.519480519	1.0	80.0	154.0	80.0	?a	0.0	0.0	0.0
506	?a 1244 ?f ?f 1298 ?b => ?a 1054 ?b 	0.561904762	0.655555556	1.0	59.0	90.0	59.0	?a	0.0	0.0	0.0
505	?f 1067 ?b ?a 1244 ?f => ?a 1054 ?b 	0.580952381	0.701149425	1.0	61.0	87.0	61.0	?a	0.0	0.0	0.0
504	?f 1054 ?b ?a 1244 ?f => ?a 1054 ?b 	0.619047619	0.722222222	1.0	65.0	90.0	65.0	?a	0.0	0.0	0.0
503	?f 1212 ?b ?a 1244 ?f => ?a 1054 ?b 	0.619047619	0.722222222	1.0	65.0	90.0	65.0	?a	0.0	0.0	0.0
